ID;Precio (€/mes);Tipo;Telefonos;Ciudad;Dirección;Barrio;Habitaciones;Baños;Area (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
163015259;900;Ático;945346571;Vitoria - Gasteiz;Bucarest;Salburua - Arantzabela;2;2;65;6;True;False;False;False;False;False;13.846153846153847
162975613;1000;Piso;945943069;Vitoria - Gasteiz;Calle de Sancho el Sabio;Lovaina;;;75;;False;False;False;False;False;False;13.333333333333334
162972053;2645;Casa o chalet;;Vitoria - Gasteiz;Calle Andra Mari de Ibernalo;Zona rural este;5;3;307;;False;True;False;False;False;False;8.615635179153095
162946883;1300;Piso;;Vitoria - Gasteiz;Calle San Millán;Aretxabaleta;2;2;75;1;True;False;False;False;False;False;17.333333333333332
162888206;850;Piso;945346517;Vitoria - Gasteiz;Gabriela Mistral;Salburua - Arantzabela;3;2;95;5;True;False;False;False;False;False;8.947368421052632
162768188;1150;Piso;945942919;Vitoria - Gasteiz;Fueros;Ensanche;3;2;100;1;False;False;False;False;False;False;11.5
163102268;900;Piso;945944183;Vitoria - Gasteiz;Calle de la Fundadora de las Siervas de Jesús;Casco Viejo;2;2;100;2;True;False;False;False;False;False;9.0
163106915;1500;Dúplex;945943158;Vitoria - Gasteiz;Portal de Castill;Ariznabarra;4;3;150;4;True;False;False;False;False;False;10.0
163106847;750;Piso;945943158;Vitoria - Gasteiz;Aiztogile Kalea;Casco Viejo;1;1;46;4;True;False;False;False;False;False;16.304347826086957
163106711;790;Piso;945943850;Vitoria - Gasteiz;Vicente Aleixandre;Santa Lucía;2;1;60;;True;False;False;True;False;False;13.166666666666666
163076777;1500;Piso;945943051;Vitoria - Gasteiz;;;3;2;120;1;True;False;False;False;False;False;12.5
163064057;800;Piso;;Vitoria - Gasteiz;Calle de Alberto Schommer;San Cristóbal;2;1;70;4;True;False;False;False;False;False;11.428571428571429
162265999;1100;Piso;945944816;Vitoria - Gasteiz;Calle General Álava;Ensanche;4;2;140;5;True;False;False;False;False;False;7.857142857142857
163059019;950;Piso;;Vitoria - Gasteiz;Calle Fueros;Ensanche;2;2;90;2;True;False;False;False;False;False;10.555555555555555
163056595;1050;Piso;;Vitoria - Gasteiz;Calle Ramiro de Maeztu;Lovaina;2;1;70;1;True;False;False;False;False;False;15.0
163056400;890;Piso;;Vitoria - Gasteiz;Calle Adriano VI;San Martín;3;2;100;;True;True;False;False;False;False;8.9
162628844;750;Piso;945346517;Vitoria - Gasteiz;San Antonio;Ensanche;1;1;60;3;True;False;False;False;False;False;12.5
163014401;1100;Casa adosada;945943051;Vitoria - Gasteiz;;;3;3;150;;False;True;True;False;False;False;7.333333333333333
162998171;1500;Piso;944949249;Vitoria - Gasteiz;Calle Salbatierrabide;Mendizorrotza;4;2;180;2;True;False;False;False;False;False;8.333333333333334
162998129;750;Dúplex;944949249;Vitoria - Gasteiz;Calle Herrería;Casco Viejo;1;1;38;1;False;False;False;False;False;False;19.736842105263158
162977327;800;Piso;945944816;Vitoria - Gasteiz;Calle de las Trianas;Adurtza;2;1;62;3;True;False;False;False;False;False;12.903225806451612
162975516;850;Piso;945944829;Vitoria - Gasteiz;;;1;1;55;3;True;False;False;False;False;False;15.454545454545455
162964565;1350;Casa o chalet;945944829;Vitoria - Gasteiz;;;4;2;130;;False;True;False;False;False;False;10.384615384615385
162946984;900;Piso;;Vitoria - Gasteiz;Calle de San Prudencio;Ensanche;2;1;89;4;True;False;False;False;False;False;10.112359550561798
162540717;2645;Casa o chalet;;Vitoria - Gasteiz;Calle Virgen de Toloño;Zona rural este;5;3;307;;False;False;False;True;False;False;8.615635179153095
